Title,Year,Mileage/Km,Price,Brand
Toyota Vellfire 2.5A Elegance Moonroof,2018,97000,176800,Toyota
Nissan X-Trail 2.0A 7-Seater Sunroof,2016,85000,55800,Nissan
Honda Civic 1.6A VTi (COE till 05/2028),2008,165000,56800,Honda
Toyota Raize 1.2A X,2022,15742,118888,Toyota
Mazda 3 1.5A Deluxe Sunroof,2016,107445,48800,Mazda
BMW X3 sDrive20i Sunroof,2017,117716,97800,BMW
Honda Mobilio 1.5A RS i-VTEC Luxe,2017,75000,56888,Honda
Rolls-Royce Wraith 6.6A,2016,24800,860000,Rolls-Royce
Honda Odyssey 2.4A EXV-S Sunroof,2017,92000,81999,Honda
Ferrari 458 Italia (COE till 10/2031),2011,89200,538000,Ferrari
BMW 5 Series 520i Mild Hybrid,2020,34439,185000,BMW
Audi RS 3 Sportback 2.5A TFSI Quattro (COE till 04/2031),2012,183314,142888,Audi
BMW 3 Series 320i (COE till 09/2031),2012,175875,138000,BMW
Mercedes-Benz GLB-Class GLB200 Progressive,2021,31000,220800,Mercedes-Benz
MINI Cooper S Coupe 1.6A (COE till 02/2032),2012,120000,106000,MINI
Mercedes-Benz E-Class E250 CGI Coupe (COE till 06/2031),2011,128000,99999,Mercedes-Benz
BMW 7 Series 730Li Sunroof,2020,54500,238800,BMW
Citroen Grand C4 Picasso Diesel 1.6A e-HDi Panoramic Roof,2015,172000,31500,Citroen
Toyota Sienta 1.5A G,2016,78000,46380,Toyota
Honda Shuttle 1.5A G,2019,62000,87800,Honda
Ferrari F8 Tributo,2020,10000,1130000,Ferrari
Ferrari F8 Tributo,2020,10000,1080000,Ferrari
BMW 2 Series 216i Gran Tourer,2019,75000,102000,BMW
Audi R8 4.2A FSI Quattro R-tronic (COE till 03/2028),2008,73000,143000,Audi
BMW 2 Series 216d Gran Tourer,2016,74000,63000,BMW
Toyota Harrier 2.0A Premium Style Mauve,2016,78000,75000,Toyota
Mercedes-Benz C-Class C200 CGI (COE till 09/2030),2010,177363,86800,Mercedes-Benz
Mercedes-Benz GLE-Class GLE450 Coupe AMG 4MATIC Sunroof,2017,85000,159000,Mercedes-Benz
Toyota Harrier Turbo 2.0A G Panoramic Roof,2018,58000,102000,Toyota
Toyota Harrier 2.0A Elegance Panoramic Roof,2017,76000,72000,Toyota
Nissan Qashqai 1.2A DIG-T Premium,2016,77000,39800,Nissan
Mazda 3 Mild Hybrid 1.5A Elegance Sunroof,2022,47000,132800,Mazda
Volkswagen Scirocco 1.4A TSI Sunroof (COE till 05/2031),2011,164000,86800,Volkswagen
Ferrari F8 Tributo,2022,9200,1188000,Ferrari
Mercedes-Benz GLC-Class GLC250 Coupe AMG Line 4MATIC Sunroof,2019,66000,183000,Mercedes-Benz
Ferrari F8 Tributo,2020,8800,1099000,Ferrari
BMW M5 Sunroof (COE till 10/2032),2012,93000,198000,BMW
Porsche Panamera 3.6A PDK (COE till 12/2030),2011,120000,138000,Porsche
Mercedes-Benz GLC-Class GLC200,2019,53000,158000,Mercedes-Benz
Nissan Note 1.2A,2019,59000,71000,Nissan
Honda Civic 1.6A (COE till 04/2029),2009,150000,62000,Honda
Mercedes-Benz GLC-Class GLC200 Coupe,2017,75000,132000,Mercedes-Benz
Toyota Alphard 2.4A,2015,80000,55500,Toyota
BMW X6 xDrive35i Sunroof (COE till 07/2032),2013,111350,171000,BMW
Porsche Macan 2.0A PDK,2022,15000,400000,Porsche
Audi A3 Sedan 1.4A TFSI Ambiente,2015,157000,34500,Audi
Mercedes-Benz B-Class B180 Style,2015,80000,48000,Mercedes-Benz
Toyota Alphard 2.5A Elegance Sunroof,2017,58044,161888,Toyota
BMW X3 sDrive20i,2015,104000,42800,BMW
MINI Cooper Clubman 1.6A (COE till 03/2031),2012,93500,90888,MINI
Bentley Flying Spur 4.0A V8 S Sunroof,2017,89400,350800,Bentley
Porsche 911 Carrera S Coupe 3.0A PDK,2018,47000,468000,Porsche
Audi Q3 1.4A TFSI S-tronic,2021,45015,172000,Audi
Mercedes-Benz E-Class E250 AMG Line Edition E,2015,148000,69800,Mercedes-Benz
Mercedes-Benz S-Class S320L,2016,150000,138800,Mercedes-Benz
Mitsubishi Fuso Canter FEA01,2016,168888,45888,Mitsubishi
Toyota Sienta Hybrid 1.5A G LED Toyota Safety Sense,2020,56823,119888,Toyota
BMW 5 Series 520i Luxury,2016,103341,77800,BMW
Kia Carens 2.0A GDI,2016,118000,48800,Kia
Toyota Wish 1.8A (COE till 10/2028),2008,144000,64800,Toyota
Volkswagen Golf 1.4A TSI Highline Sunroof,2019,44000,97888,Volkswagen
Mazda 6 2.0A Executive,2018,43000,85888,Mazda
Honda Mobilio 1.5A RS i-VTEC Luxe,2016,126316,43800,Honda
Lamborghini Gallardo LP570-4 Superleggera (COE till 08/2030),2010,42000,333000,Lamborghini
Mercedes-Benz S-Class S300L Sunroof (COE till 11/2026),2006,177000,49800,Mercedes-Benz
BMW X3 sDrive20i M-Sport Sunroof,2017,98000,101800,BMW
BMW 6 Series 640i Cabriolet (COE till 08/2029),2011,95000,118000,BMW
Lamborghini Urus,2018,49000,690888,Lamborghini
Mercedes-Benz CLA-Class CLA180 (New 10-yr COE),2014,92000,123800,Mercedes-Benz
Rolls-Royce Dawn 6.6A,2017,6900,1180000,Rolls-Royce
BMW 5 Series 530i,2019,39000,179888,BMW
Porsche 911 Carrera 3.0A PDK (COE till 02/2033),2023,10000,599000,Porsche
Porsche Macan 2.0A PDK,2019,33000,238000,Porsche
Lamborghini Gallardo LP560-4 (COE till 02/2033),2013,50000,368000,Lamborghini
Honda HR-V 1.5A LX,2017,38000,70000,Honda
Toyota C-HR Hybrid 1.8A S,2019,42000,98800,Toyota
BMW 5 Series 523i Sunroof (COE till 05/2031),2011,119000,99800,BMW
Volkswagen Golf 1.2A TSI,2017,142000,59800,Volkswagen
Toyota Vios 1.5A E (COE till 09/2028),2013,112000,63500,Toyota
Nissan Presage 2.5A Highway Star (COE till 10/2027),2007,177450,50998,Nissan
Porsche Cayenne Hybrid S 3.0A (COE till 12/2032),2012,137700,172000,Porsche
Land Rover Defender 90 Hardtop,2015,32100,95800,Land Rover
Bentley Continental GT 4.0A V8 (COE till 10/2032),2012,82000,268800,Bentley
Subaru Forester 2.0A XT Sunroof,2015,127752,34998,Subaru
Lamborghini Aventador LP700-4 (COE till 03/2032),2012,31000,595888,Lamborghini
BMW M3 Sedan,2015,133000,155800,BMW
Mercedes-Benz G-Class G63 AMG (COE till 12/2032),2013,83490,388000,Mercedes-Benz
Mitsubishi Triton L200 Double-Cab 2.5M (New 5-yr COE),2014,145000,58800,Mitsubishi
Jaguar F-PACE 2.0A R-Sport Sunroof,2018,109300,138000,Jaguar
BMW 5 Series 523i Highline (COE till 05/2031),2011,115500,97800,BMW
Mitsubishi Attrage 1.2A Sports,2016,72098,34998,Mitsubishi
BMW 5 Series 535i M-Sport Sunroof (COE till 05/2031),2011,92000,122000,BMW
Mitsubishi Triton L200 Double-Cab 2.5A,2015,190000,28800,Mitsubishi
Mercedes-Benz C-Class C180 CGI Sunroof (COE till 07/2033),2013,110300,124800,Mercedes-Benz
Mercedes-Benz AMG GT R,2020,17000,705888,Mercedes-Benz
BMW X3 sDrive20i M-Sport,2021,20000,225800,BMW
Mercedes-Benz CLA-Class CLA200 AMG Line (New 10-yr COE),2014,97000,127800,Mercedes-Benz
Nissan GTR 3.8A (COE till 02/2029),2009,120000,238000,Nissan
Audi TT Roadster 2.0A (COE till 08/2030),2010,90000,120800,Audi
Ferrari F430 F1 Spider (COE till 12/2030),2011,52000,408800,Ferrari
BMW M5 Sunroof (COE till 09/2031),2012,100000,155000,BMW
Mitsubishi Triton L200 Double-Cab 2.5M,2016,151000,48800,Mitsubishi
Audi R8 4.2A FSI Quattro R-tronic (COE till 07/2030),2010,93000,201500,Audi
Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,2022,4686,158800,Honda
Citroen Berlingo 1.6A e-HDi,2016,128500,23800,Citroen
Nissan Sylphy 1.6A,2018,101000,76800,Nissan
Toyota Estima 2.4A (COE till 04/2029),2009,130000,85800,Toyota
Audi TT Roadster 1.8A TFSI S-tronic,2018,25400,136800,Audi
Volkswagen Tiguan 2.0A TSI (COE till 08/2025),2010,98000,29800,Volkswagen
Jaguar XJS 3.6A (COE till 02/2029),1991,159769,129000,Jaguar
Toyota Hiace 3.0M DX,2016,222000,38000,Toyota
Mercedes-Benz C-Class C180 Avantgarde,2015,107000,51000,Mercedes-Benz
Porsche Macan 2.0A PDK,2016,68555,146888,Porsche
Volkswagen Scirocco 1.4A TSI (COE till 08/2025),2011,177000,24800,Volkswagen
Hyundai Elantra 1.6A GLS S,2016,167000,40500,Hyundai
Rolls-Royce Ghost EWB (COE till 05/2033),2013,44000,638000,Rolls-Royce
BMW Z4 sDrive20i (COE till 05/2033),2013,45300,155000,BMW
Lamborghini Aventador LP700-4 (COE till 02/2031),2011,20100,588888,Lamborghini
Mitsubishi Evolution 10 GSR SST (COE till 04/2028),2008,208000,123800,Mitsubishi
Toyota Sienta Hybrid 1.5A X,2020,40000,120688,Toyota
BMW 3 Series 325i Sunroof (COE till 03/2030),2010,112888,73888,BMW
Jaguar S-Type 3.0SE (COE till 04/2029),1999,115759,73998,Jaguar
BMW 2 Series 220i Coupe M-Sport Sunroof (New 10-yr COE),2014,96000,158000,BMW
BMW M340i xDrive,2019,38000,254900,BMW
Mercedes-Benz CLS-Class CLS350 Mild Hybrid Sunroof,2019,57000,243000,Mercedes-Benz
Mercedes-Benz S-Class S450L Mild Hybrid AMG Line 4MATIC Sunroof,2022,27000,499980,Mercedes-Benz
Lamborghini Aventador LP700-4 (COE till 04/2032),2013,30000,758000,Lamborghini
BMW 7 Series 725d Exclusive,2020,35000,233000,BMW
Rolls-Royce Phantom (COE till 04/2030),2010,48500,588000,Rolls-Royce
BMW X3 xDrive28i Sunroof (COE till 11/2031),2012,161547,123888,BMW
Lamborghini Gallardo LP560-4 (COE till 04/2031),2012,68000,293000,Lamborghini
Mercedes-Benz SL-Class SL350 (COE till 09/2030),2010,87000,109800,Mercedes-Benz
MINI John Cooper Works GP 2.0A,2020,28000,179000,MINI
Audi R8 4.2A FSI Quattro R-tronic (COE till 10/2028),2008,147300,153000,Audi
McLaren 600LT,2021,8000,888000,McLaren
Infiniti QX80 5.6A,2016,60000,128800,Infiniti
Maserati GranCabrio 4.7A (COE till 01/2033),2013,32000,208000,Maserati
Mercedes-Benz E-Class E220d Premium,2017,130000,113000,Mercedes-Benz
Lexus RC F 5.0A,2015,76000,153800,Lexus
Mercedes-Benz CLA-Class CLA180 Progressive,2022,21775,178800,Mercedes-Benz
Mazda 3 1.6A (COE till 04/2029),2009,146000,69800,Mazda
Kia Cerato K3 1.6A SX,2016,114800,38800,Kia
Toyota Harrier 2.0A Premium Panoramic Roof,2016,68000,73800,Toyota
Mercedes-Benz A-Class A200 Style,2016,78000,63800,Mercedes-Benz
Honda Fit 1.3A GF,2020,25000,89800,Honda
BMW 3 Series 318i,2016,114910,54800,BMW
Mercedes-Benz A-Class A200 Style,2016,118000,54800,Mercedes-Benz
MINI Cooper 1.6A (COE till 04/2026),2011,150000,28900,MINI
Mercedes-Benz C-Class C180 Avantgarde,2017,56800,102800,Mercedes-Benz
Mazda CX-5 2.0A,2016,138000,53800,Mazda
Mazda 5 2.0A SP Sunroof,2016,92800,55800,Mazda
Kia Stonic 1.0T,2019,144820,73800,Kia
BMW 2 Series 218i Active Tourer,2015,99600,31800,BMW
Toyota Harrier 2.0A Elegance Panoramic Roof,2017,48000,83800,Toyota
Subaru XV 1.6i-S,2015,122163,35800,Subaru
BMW X1 sDrive18i xLine,2021,50000,153800,BMW
Honda Shuttle 1.5A G LED (OPC),2018,82000,52800,Honda
Suzuki Swift Sport 1.6A (COE till 08/2030),2011,74000,77800,Suzuki
Mazda 6 2.0A,2015,73128,35800,Mazda
Mazda 5 2.0A Sunroof,2015,88552,34800,Mazda
Mercedes-Benz E-Class E200 Avantgarde,2016,106800,99800,Mercedes-Benz
BMW 2 Series 216d Gran Tourer,2016,132200,57800,BMW
Toyota Camry 2.5A,2016,43386,66800,Toyota
Mercedes-Benz B-Class B170 (COE till 02/2029),2009,160000,62800,Mercedes-Benz
Honda Vezel 1.5A X Honda Sensing,2017,69500,64800,Honda
Toyota Wish 1.8A X,2017,81300,65800,Toyota
Chevrolet Orlando 1.4A Turbo,2017,74000,53555,Chevrolet
Volvo XC40 T5 Momentum,2018,90000,107777,Volvo
Toyota Wish 1.8A Elegance,2015,128000,42500,Toyota
BMW X1 sDrive18i Sunroof (COE till 05/2029),2010,123450,78800,BMW
Mercedes-Benz Maybach GLS-Class GLS600 Mild Hybrid 4MATIC,2022,28000,886800,Mercedes-Benz
Toyota Wish 1.8A (COE till 06/2026),2006,145000,34800,Toyota
Nissan Qashqai 1.2A DIG-T Premium,2015,96000,26800,Nissan
Toyota Dyna 150 3.0M (New 5-yr COE),2014,135000,56888,Toyota
Mercedes-Benz A-Class A180d AMG Line,2017,90000,75388,Mercedes-Benz
BMW X6 xDrive35i Sunroof,2016,145500,129900,BMW
Toyota Rav4 2.0A Premium,2018,55124,110888,Toyota
Toyota Corolla Altis 1.6A,2015,75200,38800,Toyota
Honda Vezel 1.5A X,2016,69000,43555,Honda
BMW 3 Series 318i,2015,77530,48000,BMW
Mercedes-Benz E-Class E200 Exclusive Sunroof,2019,88670,159800,Mercedes-Benz
Honda Stream 1.8A X (COE till 11/2027),2007,183000,47800,Honda
Honda Odyssey 2.4A EXV-S Navi Res Sunroof,2016,120000,77800,Honda
Honda Vezel 1.5A X,2018,84000,70800,Honda
Toyota Dyna 150 2.8M,2022,115,109800,Toyota
Audi A4 1.4A TFSI S-tronic,2017,73200,81888,Audi
Mercedes-Benz GLA-Class GLA180,2019,65000,113555,Mercedes-Benz
Mazda CX-9 2.5A Turbo,2018,67000,124888,Mazda
Toyota Sienta 1.5A G,2016,86000,43800,Toyota
Audi A4 2.0A TFSI S-tronic,2018,67000,109000,Audi
Kia Cerato 1.6A EX,2018,65000,74777,Kia
Maserati GranTurismo 4.2A (COE till 02/2032),2012,98000,149800,Maserati
Toyota Sienta Hybrid 1.5A X,2022,58000,136800,Toyota
Toyota Raize 1.0A XS,2020,20000,93800,Toyota
Toyota Noah Hybrid 1.8A X,2019,41000,146800,Toyota
Hyundai Elantra 1.6A GLS (OPC),2018,30000,63800,Hyundai
Mazda 6 2.0A,2018,105000,76800,Mazda
Renault Grand Scenic Diesel 1.5A dCi BOSE Edition Sunroof,2019,89000,98800,Renault
Volkswagen Passat 1.8A TFSI,2016,97000,59900,Volkswagen
Honda Vezel Hybrid 1.5A X Honda Sensing,2016,83000,49800,Honda
Toyota C-HR Hybrid 1.8A S LED,2018,66000,78800,Toyota
Honda Jazz 1.3A,2016,96000,38500,Honda
Mercedes-Benz S-Class S350L Sunroof (COE till 04/2029),2009,139000,72800,Mercedes-Benz
Toyota Corolla Altis 1.6A Classic,2016,118000,52800,Toyota
Jaguar XE Diesel 2.0A Prestige,2017,87000,79800,Jaguar
Honda Vezel 1.5A G,2023,25,148888,Honda
Volvo S60 T5,2016,130000,44800,Volvo
Audi A1 Sportback 1.4A TFSI S-tronic (New 10-yr COE),2014,80000,119800,Audi
Mazda 2 HB 1.5A Deluxe,2019,66000,81800,Mazda
Mitsubishi Attrage 1.2A,2017,93000,49800,Mitsubishi
Toyota Wish 1.8A Elegance,2017,60000,67800,Toyota
BMW 2 Series 216d Gran Tourer Luxury,2017,115000,66800,BMW
Mazda 3 1.5A Sunroof,2015,133000,23800,Mazda
BMW X1 sDrive18i,2018,139383,104500,BMW
BMW Z4 sDrive23i (COE till 10/2030),2011,145000,102800,BMW
BMW 2 Series 218i Gran Coupe M-Sport,2020,45555,138888,BMW
Honda Vezel 1.5A X Honda Sensing,2017,63000,55800,Honda
Mazda 3 HB 1.5A Deluxe Sunroof,2018,89000,77800,Mazda
Volvo S60 T5,2016,164000,45800,Volvo
Toyota Alphard 2.5A SA Moonroof,2017,88000,138800,Toyota
Mercedes-Benz GLC-Class GLC250 Coupe AMG Line 4MATIC,2019,67000,187800,Mercedes-Benz
Volkswagen Polo 1.0A TSI Comfortline,2021,14000,108800,Volkswagen
Hyundai Accent 1.4A,2018,58000,59800,Hyundai
Mazda 6 2.0A,2018,115818,76500,Mazda
Mercedes-Benz GLA-Class GLA180 Urban Edition,2020,55314,138000,Mercedes-Benz
Hyundai Elantra 1.6A GLS S,2018,60000,62500,Hyundai
Mercedes-Benz A-Class Saloon A200 Progressive,2020,34405,143000,Mercedes-Benz
Honda Shuttle 1.5A G LED,2018,64125,67800,Honda
Mitsubishi Lancer EX 1.5A GLS (COE till 10/2028),2008,109000,57500,Mitsubishi
Porsche 718 Cayman 2.0A PDK,2020,55000,302888,Porsche
Skoda Superb 2.0A TSI Laurin & Klement,2021,48664,163000,Skoda
Nissan Qashqai Mild Hybrid 1.3A Turbo Prestige,2022,18000,175800,Nissan
Subaru XV 1.6i-S,2017,86037,65800,Subaru
Volkswagen Sharan 2.0A TSI Panoramic Roof,2017,103854,93800,Volkswagen
Volkswagen Jetta Sport 1.4A TSI (COE till 12/2030),2011,149502,74800,Volkswagen
Toyota Camry 2.0A (COE till 05/2028),2008,139801,51800,Toyota
Skoda Kodiaq 1.4A TSI Ambition Plus 7-Seater,2019,89580,129300,Skoda
Honda Civic 1.6A VTi,2018,92000,74800,Honda
Hyundai Elantra 1.6A GLS,2017,78000,58800,Hyundai
Kia Stonic 1.0T EX (OPC),2020,14000,87800,Kia
Honda HR-V 1.5A LX,2016,128105,54800,Honda
Maserati GranCabrio 4.7A (COE till 10/2031),2011,41000,165888,Maserati
Mazda 2 1.5A (OPC),2018,61000,53800,Mazda
BMW 7 Series 740Li Sunroof (COE till 11/2030),2010,117000,102800,BMW
Audi A3 Sportback 1.0A TFSI S-tronic,2018,55650,86800,Audi
Honda Vezel 1.5A X Honda Sensing,2017,85000,58800,Honda
Mazda 2 HB 1.5A Deluxe,2020,37000,94800,Mazda
Kia Sorento Diesel 2.2A CRDi Sunroof,2017,120000,76800,Kia
Honda Civic 1.6A VTi,2017,101000,63800,Honda
Ford Focus 1.0A Titanium,2018,90000,60900,Ford
Mercedes-Benz C-Class C180 Avantgarde,2019,104000,137800,Mercedes-Benz
Nissan Pulsar 1.2A DIG-T,2017,57000,53800,Nissan
Honda Fit 1.3A G,2015,101421,34800,Honda
Mercedes-Benz CLA-Class CLA200 AMG Line,2020,48000,156800,Mercedes-Benz
BMW 2 Series 216i Gran Tourer,2020,70000,139800,BMW
SEAT Arona 1.0A EcoTSI FR,2019,60711,82500,SEAT
Mercedes-Benz C-Class C180 Avantgarde,2017,135800,95888,Mercedes-Benz
Mercedes-Benz C-Class C200 Avantgarde,2014,92884,43500,Mercedes-Benz
Mazda 3 2.0A Sport,2017,80000,59900,Mazda
Honda HR-V 1.5A LX,2016,120000,50900,Honda
Nissan Qashqai 1.2A DIG-T Premium,2016,72000,46399,Nissan
Mercedes-Benz GLC-Class GLC250 4MATIC Sunroof,2019,61000,169800,Mercedes-Benz
Honda Vezel 1.5A RS,2019,56000,98800,Honda
Toyota Estima 2.4A Aeras Premium Moonroof,2017,65000,112800,Toyota
Honda Shuttle 1.5A G LED,2017,75000,55800,Honda
Hyundai Avante 1.6A S (COE till 08/2029),2009,231000,56800,Hyundai
Mitsubishi Attrage 1.2A Sports (OPC),2019,27000,63800,Mitsubishi
Toyota Camry Hybrid 2.5A Ascent,2021,63000,142800,Toyota
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,2017,87000,83800,Mercedes-Benz
Volkswagen Passat 1.8A TFSI Highline Sunroof,2019,55000,112800,Volkswagen
MINI Cooper S Cabriolet 2.0A,2018,75000,118800,MINI
Mercedes-Benz C-Class C180K (COE till 10/2028),2008,152249,62800,Mercedes-Benz
Honda Shuttle Hybrid 1.5A,2018,62000,85800,Honda
Toyota Wish 1.8A Elegance,2015,110000,40599,Toyota
Mitsubishi Fuso Canter FEA01,2015,123101,19800,Mitsubishi
Honda HR-V 1.5A LX,2020,43000,109800,Honda
Subaru Forester 2.0i-L Sunroof,2017,62000,67800,Subaru
Hyundai Elantra 1.6A GLS,2018,78000,68800,Hyundai
Volkswagen Tiguan 1.4A TSI R-Line Panoramic Roof,2020,40904,146800,Volkswagen
Toyota Wish 1.8A (COE till 09/2030),2011,148966,88000,Toyota
Honda Fit 1.3A G F-Package,2016,68000,44388,Honda
Kia Cerato K3 SX 1.6A Sunroof,2017,57798,64888,Kia
Subaru Forester 2.0A XT Sunroof,2016,93000,58800,Subaru
Honda Freed Hybrid 1.5A G,2019,62188,102800,Honda
Mercedes-Benz GLC-Class GLC250d AMG Line 4MATIC,2017,79000,106800,Mercedes-Benz
Hyundai Elantra 1.6A Elite,2015,106000,35399,Hyundai
Mercedes-Benz AMG GT 63 S 4MATIC+,2019,21998,518800,Mercedes-Benz
Toyota Raize 1.0A X,2022,18377,116800,Toyota
Toyota Prius Hybrid 1.8A S,2017,89000,63999,Toyota
Honda Shuttle Hybrid 1.5A X,2018,56000,79800,Honda
Mitsubishi ASX 2.0A,2017,80000,66800,Mitsubishi
BMW 3 Series 328i (COE till 08/2031),2012,140000,143800,BMW
Mazda Biante 2.0A,2015,126404,30800,Mazda
Audi A4 1.4A TFSI S-tronic,2017,105788,70998,Audi
Mercedes-Benz CLA-Class CLA180 AMG Line,2021,21110,186800,Mercedes-Benz
Mitsubishi Attrage 1.2A Sports,2018,60000,60800,Mitsubishi
Honda Civic 1.6A VTi,2021,39700,118800,Honda
Skoda Kodiaq 1.4A TSI Ambition Plus 7-Seater Sunroof,2019,49700,123800,Skoda
Subaru XV 2.0i-S EyeSight,2019,32700,107800,Subaru
Mercedes-Benz GLA-Class GLA200 Sport Executive,2021,35000,171800,Mercedes-Benz
Honda Jazz 1.3A,2019,15500,74800,Honda
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,2022,17000,224888,Mercedes-Benz
Honda Fit 1.3A GF,2019,88140,70800,Honda
Toyota Vellfire 2.5A X Moonroof,2019,65566,181800,Toyota
Hyundai i30 1.4A T-GDi DCT Turbo,2018,97000,70800,Hyundai
Mercedes-Benz GLB-Class GLB200 AMG Line 7-Seater,2022,15000,222800,Mercedes-Benz
Subaru Forester 2.0i-S EyeSight Sunroof,2020,62700,129800,Subaru
Nissan Qashqai 1.2A Premium,2016,92846,41800,Nissan
Kia Cerato K3 1.6A,2016,76800,46800,Kia
BMW 5 Series 520i Luxury,2016,118800,68800,BMW
Renault Grand Scenic Diesel 1.5A dCi Moonroof,2018,98257,78000,Renault
Mercedes-Benz E-Class E200 Exclusive,2020,72000,185800,Mercedes-Benz
Volkswagen Golf 1.2A TSI,2014,150000,18000,Volkswagen
Hyundai Elantra 1.6A GLS S (OPC),2018,40028,69800,Hyundai
Honda Vezel Hybrid 1.5A RS,2017,82894,61800,Honda
Volvo V40 T4 Momentum,2018,108800,87800,Volvo
Honda Shuttle 1.5A G,2018,68800,73800,Honda
Toyota Corolla Altis 1.6A Elegance,2019,88800,90800,Toyota
Opel Cascada 1.6A Turbo,2014,97208,35800,Opel
Audi A3 Sedan 1.4A TFSI CoD S-tronic,2018,37000,105000,Audi
Nissan Qashqai 1.2A DIG-T,2019,105334,86500,Nissan
Jaguar XE Diesel 2.0A Prestige,2017,78888,82888,Jaguar
Kia Sorento Diesel 2.2A CRDi Sunroof,2017,107000,91777,Kia
Volkswagen Jetta GP 1.4A TSI,2016,119800,42800,Volkswagen
Volkswagen Golf 1.4A TSI (New 5-yr COE),2013,84000,65800,Volkswagen
Honda Vezel Hybrid 1.5A X,2018,76812,88800,Honda
Opel Grandland X 1.2A Turbo Innovation Premium,2018,60232,85800,Opel
Citroen DS4 Crossback Diesel 1.6A BlueHDi,2017,86258,55800,Citroen
Opel Zafira Grand Tourer 1.4A Turbo,2020,66277,104800,Opel
Honda Jazz 1.5A RS,2016,128200,39800,Honda
Mercedes-Benz B-Class B180 Style,2016,102350,52800,Mercedes-Benz
BMW 2 Series 218i Active Tourer,2015,86800,42800,BMW
Toyota Harrier 2.0A Luxury,2021,56000,164800,Toyota
Mercedes-Benz C-Class C180K (COE till 01/2029),2009,192000,63800,Mercedes-Benz
Ford Mustang 2.3A Ecoboost,2018,78000,156800,Ford
Toyota Camry 2.0A (COE till 11/2028),2008,120000,57800,Toyota
Mercedes-Benz CLA-Class CLA180,2016,96888,69800,Mercedes-Benz
Volkswagen Golf Sport 1.4A TSI (COE till 10/2030),2011,141000,85800,Volkswagen
Subaru XV 1.6i-S,2017,111131,57000,Subaru
Hyundai Tucson 1.6A GLS T-GDi DCT Turbo,2017,89000,71800,Hyundai
Honda Vezel 1.5A X Honda Sensing,2016,100000,43800,Honda
BMW 1 Series 116d,2016,120000,53800,BMW
BMW 6 Series 640i Gran Coupe Sunroof (COE till 08/2032),2013,156000,169800,BMW
Subaru Forester 2.0i-L Sunroof,2015,101800,37800,Subaru
Honda Fit 1.3A G Skyroof (COE till 06/2029),2009,274000,64800,Honda
Nissan NV350 2.5M,2019,57419,54800,Nissan
Mitsubishi Lancer 1.3M GLXI (COE till 03/2029),1999,250000,82800,Mitsubishi
Kia Carens Diesel 1.7A,2018,107467,83300,Kia
Volkswagen New Beetle 1.6A (COE till 03/2029),2009,56000,56500,Volkswagen
Toyota Estima 2.4A Aeras Moonroof (COE till 03/2028),2008,142000,62500,Toyota
BMW X6 Mild Hybrid xDrive40i M-Sport,2022,10000,384800,BMW
Lexus ES250 Luxury Sunroof,2017,114000,97900,Lexus
MINI Cooper S Cabriolet 2.0A,2016,77500,75000,MINI
Honda Jazz 1.3A,2017,74000,52900,Honda
Porsche 718 Boxster 2.0A PDK,2018,48300,253888,Porsche
Subaru Forester 2.0i-L Sport Sunroof,2018,53381,85800,Subaru
Toyota Harrier 2.0A Premium,2016,140000,65800,Toyota
Honda HR-V 1.5A LX,2016,105000,53800,Honda
Honda Shuttle 1.5A G,2017,76000,63888,Honda
Toyota Corolla Altis 1.6A Elegance,2018,65400,91800,Toyota
Hyundai Avante 1.6A Sunroof (COE till 11/2027),2007,141000,42500,Hyundai
Toyota Sienta Hybrid 1.5A G,2020,66000,109900,Toyota
Toyota Rav4 2.0A Premium,2019,105000,115800,Toyota
Toyota Camry 2.5A,2016,112000,55800,Toyota
Mercedes-Benz CLA-Class CLA200 Shooting Brake Urban,2017,110000,85800,Mercedes-Benz
BMW 5 Series 530i M-Sport,2019,64000,180800,BMW
Jaguar XF 2.0A R-Sport,2021,28800,195800,Jaguar
BMW 3 Series 320i Highline,2020,44000,178800,BMW
Toyota Alphard 2.5A Elegance Moonroof,2019,76000,197800,Toyota
Toyota Estima 2.4A Aeras (COE till 09/2030),2010,130000,95800,Toyota
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,2023,3900,232800,Mercedes-Benz
Toyota Sienta Hybrid 1.5A X,2021,45008,120800,Toyota
Lexus NX Turbo NX300 Executive,2019,116000,151800,Lexus
Audi TTS Coupe 2.0A TFSI Quattro S-tronic (COE till 05/2030),2010,141000,113800,Audi
Volvo XC40 T5 R-Design,2019,12700,146800,Volvo
Honda Crossroad 1.8A L (COE till 12/2028),2008,165000,69800,Honda
Honda Freed Hybrid 1.5A G 7-Seater Honda Sensing,2020,40400,127800,Honda
Mazda 3 Mild Hybrid 1.5A Classic,2022,11000,120800,Mazda
Audi A5 Sportback Mild Hybrid 2.0A TFSI S-tronic,2020,65800,163800,Audi
Toyota Wish 1.8A,2018,77000,79800,Toyota
Mercedes-Benz A-Class A200 Style,2016,94000,68800,Mercedes-Benz
Toyota Alphard 2.4A (COE till 01/2031),2011,205539,109800,Toyota
