Title,Year,Mileage/Km,Price,Brand
Mercedes-Benz CLA-Class CLA180 Shooting Brake,2016,89888,55800,Mercedes-Benz
Mercedes-Benz C-Class C180 Avantgarde,2020,78066,152800,Mercedes-Benz
BMW 6 Series 640i Gran Coupe M-Sport Sunroof,2016,59000,128800,BMW
BMW 4 Series 420i Coupe M-Sport,2023,12500,249800,BMW
Toyota Alphard 2.5A S Moonroof,2018,61000,155000,Toyota
Audi A3 Sportback Mild Hybrid 1.0A TFSI S-tronic,2023,50,180888,Audi
BMW 1 Series 116d,2018,118997,89800,BMW
Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,2023,27,181800,Honda
Porsche 981 Cayman 2.7A PDK (New 10-yr COE),2014,106000,260000,Porsche
Kia Stonic 1.0T,2019,46388,78800,Kia
BMW M4 Coupe Competition,2022,33000,429800,BMW
Lexus NX Turbo NX200t Luxury Sunroof,2015,112000,73800,Lexus
Toyota Vellfire 2.5A Z G-Edition Moonroof,2019,60000,205888,Toyota
Toyota Dyna 150 3.0M,2017,103212,65800,Toyota
Mazda CX-3 2.0A,2016,81000,57800,Mazda
Mercedes-Benz C-Class C180 Exclusive,2016,76000,67800,Mercedes-Benz
BMW 1 Series 1M Coupe (COE till 04/2031),2011,105000,188500,BMW
Honda Vezel 1.5A X,2020,61000,96800,Honda
Audi A3 Sedan 1.0A TFSI S-tronic,2023,40,180888,Audi
Toyota Prius Hybrid 1.8A,2017,75000,63800,Toyota
Toyota Hiace 3.0M DX,2017,109300,47800,Toyota
BMW 3 Series 328i (COE till 02/2032),2012,122000,149888,BMW
Mazda 6 2.5A Sunroof,2016,119000,57800,Mazda
Nissan Sylphy 1.6A,2015,106000,31800,Nissan
BMW X5 xDrive40i M-Sport,2022,12299,387800,BMW
Toyota Alphard Hybrid 2.5A Elegance,2023,20,348800,Toyota
Toyota Hiace Commuter 3.0A,2022,5500,140800,Toyota
Mercedes-Benz C-Class C43 AMG 4MATIC,2017,55000,169800,Mercedes-Benz
Mercedes-Benz A-Class A45 AMG 4MATIC (COE till 10/2033),2014,96000,200888,Mercedes-Benz
Mercedes-Benz C-Class C200 Mild Hybrid AMG Line,2023,34,271800,Mercedes-Benz
Audi A5 Sportback 2.0A TFSI Quattro S-Line (COE till 03/2030),2010,133800,90800,Audi
Rolls-Royce Cullinan 6.75A Black Badge,2023,102,2398000,Rolls-Royce
Honda Jazz 1.5A RS,2017,54332,58800,Honda
